#Stand	Length (m)	Cable type	Est. attenuation at 50 MHz (dBm)	Delay (ns)	Length (m)	Delay (ns)	Length (m)	Delay (ns)	Length (m)	Delay (ns)	Length (m)
1	241.20	CNT-240-DB	14.95	981.54	241.29	976.47	240.04	991.39	243.71	986.29	242.46
2	233.40	CNT-240-DB	14.47	950.39	233.63	945.27	232.37	952.26	234.09	947.16	232.84
3	230.20	CNT-240-DB	14.27	939.22	230.89	934.49	229.72	949.59	233.44	944.60	232.21
4	216.00	CNT-240-DB	13.39	880.51	216.46	875.81	215.30	897.47	220.62	892.65	219.44
5	215.70	CNT-240-DB	13.37	884.90	217.53	880.13	216.36	878.82	216.04	874.14	214.89
6	203.20	CNT-240-DB	12.60	832.06	204.55	829.43	203.90	836.84	205.72	834.30	205.10
7	212.80	CNT-240-DB	13.19	866.04	212.90	861.66	211.82	870.41	213.97	865.90	212.87
8	198.00	CNT-240-DB	12.28	811.76	199.56	807.50	198.51	815.28	200.42	810.94	199.35
9	190.10	CNT-240-DB	11.79	776.75	190.95	774.35	190.36	774.03	190.28	771.60	189.68
10	191.70	CNT-240-DB	11.89	779.81	191.70	775.57	190.66	795.90	195.66	791.61	194.60
11	190.80	CNT-240-DB	11.83	784.50	192.85	780.05	191.76	789.45	194.07	784.81	192.93
12	183.90	CNT-240-DB	11.40	755.68	185.77	751.32	184.70	756.97	186.09	752.70	185.04
13	173.10	CNT-240-DB	10.73	708.93	174.28	705.25	173.37	710.20	174.59	706.56	173.69
14	176.10	CNT-240-DB	10.92	726.61	178.62	726.61	177.64	720.18	177.04	716.33	176.09
15	179.60	CNT-240-DB	11.14	732.57	180.09	728.89	179.18	737.03	181.19	733.26	180.26
16	175.80	CNT-240-DB	10.90	718.35	176.59	714.50	175.65	725.19	178.27	721.46	177.36
17	161.60	CNT-240-DB	10.02	675.61	166.08	672.12	165.23	666.00	163.72	662.49	162.86
18	169.80	CNT-240-DB	10.53	692.33	170.19	690.24	169.68	695.63	171.01	693.51	170.49
19	153.40	CNT-240-DB	9.51	627.79	154.33	624.37	153.49	628.76	154.57	625.34	153.73
20	153.50	CNT-240-DB	9.52	629.91	154.85	626.62	154.04	632.41	155.47	629.18	154.67
21	161.30	CNT-240-DB	10.00	677.08	166.45	673.59	165.59	660.48	162.37	657.01	161.51
22	144.20	CNT-240-DB	8.94	596.61	146.67	593.58	145.92	587.59	144.45	584.61	143.72
23	146.80	CNT-240-DB	9.10	598.18	147.05	595.17	146.31	602.61	148.14	599.49	147.37
24	141.20	CNT-240-DB	8.75	575.81	141.55	572.90	140.84	581.81	143.03	578.72	141.27
25	145.30	CNT-240-DB	9.01	592.20	145.58	589.24	144.85	599.66	147.41	596.59	146.66
26	131.00	CNT-240-DB	8.12	533.74	131.21	531.04	130.55	551.17	135.49	548.35	134.80
27	136.40	CNT-240-DB	8.46	556.33	136.76	553.28	136.01	556.78	136.87	553.74	136.12
28	125.30	CNT-240-DB	7.77	510.96	125.61	508.37	124.97	516.69	127.02	514.05	126.37
29	130.20	CNT-240-DB	8.07	531.91	130.76	529.06	130.06	531.81	130.74	528.90	130.02
30	118.90	CNT-240-DB	7.37	486.35	119.56	483.81	118.93	491.49	120.82	488.97	120.20
31	113.80	CNT-240-DB	7.06	465.52	114.44	463.04	113.83	469.85	115.50	467.32	114.88
32	98.40	CNT-240-DB	6.10	401.24	98.64	399.23	98.14	406.39	99.90	404.23	99.37
33	245.80	CNT-240-DB	15.24	1.01	247.41	1.00	246.10	1.01	249.35	1.01	248.03
34	233.20	CNT-240-DB	14.46	954.28	234.59	949.20	233.34	949.83	233.50	944.76	232.25
35	219.50	CNT-240-DB	13.61	900.08	221.27	895.46	220.13	901.91	221.72	897.16	220.55
36	218.70	CNT-240-DB	13.56	894.59	219.92	889.91	218.77	902.62	221.89	897.93	220.74
37	210.00	CNT-240-DB	13.02	855.64	210.34	851.22	209.25	867.05	213.15	862.56	212.04
38	216.10	CNT-240-DB	13.40	886.45	217.92	881.88	216.79	891.41	219.14	886.78	218.00
39	209.60	CNT-240-DB	13.00	857.51	210.80	854.91	210.16	858.39	211.02	855.77	210.37
40	206.00	CNT-240-DB	12.77	842.57	207.13	838.20	206.06	843.40	207.33	838.97	206.24
41	195.10	CNT-240-DB	12.10	805.38	197.99	801.15	196.95	804.88	197.86	800.78	196.86
42	195.90	CNT-240-DB	12.15	797.81	196.13	793.65	195.10	798.09	196.19	793.70	195.12
43	178.20	CNT-240-DB	11.05	730.36	179.54	726.42	178.58	734.31	180.52	730.55	179.59
44	178.60	CNT-240-DB	11.07	737.73	181.36	770.23	189.35	726.61	178.62	722.68	177.66
45	167.60	CNT-240-DB	10.39	687.01	168.89	683.39	168.00	692.03	170.12	688.48	169.25
46	172.10	CNT-240-DB	10.67	701.29	172.04	699.83	172.04	706.63	173.71	702.99	172.82
47	158.90	CNT-240-DB	9.85	646.66	158.97	643.17	158.11	656.80	161.46	653.25	160.59
48	151.60	CNT-240-DB	9.40	624.70	153.57	621.49	152.78	623.30	153.23	620.10	152.44
49	147.50	CNT-240-DB	9.15	602.85	148.20	601.05	147.76	604.16	148.52	602.26	148.05
50	147.50	CNT-240-DB	9.15	601.85	147.95	598.71	147.18	606.68	149.14	603.40	148.33
51	142.10	CNT-240-DB	8.81	580.36	142.67	577.38	141.94	586.46	144.17	583.28	143.39
52	141.80	CNT-240-DB	8.79	578.56	142.23	575.55	141.49	584.88	143.78	581.81	143.03
53	135.10	CNT-240-DB	8.38	551.45	135.56	548.67	134.88	554.37	136.28	551.52	135.58
54	126.20	CNT-240-DB	7.82	516.82	127.05	513.98	126.35	516.78	127.04	513.95	126.34
55	120.40	CNT-240-DB	7.46	497.75	122.36	495.22	121.74	497.07	122.19	494.55	121.57
56	118.10	CNT-240-DB	7.32	483.36	118.83	481.82	118.44	487.38	119.81	485.86	119.44
57	109.40	CNT-240-DB	6.78	446.08	109.66	444.69	109.32	448.93	110.36	447.53	110.02
58	108.90	CNT-240-DB	6.75	448.69	110.30	445.90	109.62	449.82	110.58	446.98	109.88
59	95.90	CNT-240-DB	5.95	391.23	96.18	389.18	95.67	395.78	97.29	393.63	96.77
60	94.60	CNT-240-DB	5.87	390.19	95.92	388.15	95.42	388.56	95.52	386.52	95.02
61	88.90	CNT-240-DB	5.51	363.21	89.29	361.27	88.81	366.50	90.10	364.58	89.62
62	85.90	CNT-240-DB	5.33	351.35	86.37	349.61	85.95	354.80	87.22	352.99	86.78
63	62.70	CNT-240-DB	3.89	256.97	63.17	255.61	62.84	257.95	63.41	256.58	63.08
